term,definition
3중 DES(triple-DES(Data Encryption Standard),"DES(Data Encryption Standard)에 기초한 알고리즘으로서, 키 길이가 56 비트인 3개의
키를 이용해서 데이터 블록을 3번 암호화 및 복호화하는 구조를 가짐."
"AAA(Authentication, Authorization, and Accounting)","인증, 권한 부여, 과금, 인증이란 어떤 사람이나 사물이 실제로 등록(신고)된 바로 그 사람
(또는 실체)인지를 판단하는 과정이다. 개별 또는 인터넷을 포함한 공공 네트워크에서의
인증은 대게 로그온 시 패스워드(암호)의 사용을 통해 이루어짐."
ACL(Access Control List),"개개의 사용자들이 디렉터리나 파일과 같은 특정 시스템 객체에 접근할 수 있는 권한을
정의해 놓은 목록."
AES(Advanced Encryption Standard),"미국연방정부표준 블록 암호 알고리즘(NIST FIPS 197)이며 128 비트 블록 크기에 128,
192, 256 비트 키 길이를 지원함."
APCERT(Asia-Pacific Computer Emergency Response Team),"아시아, 태평양 지역의 국가대표 CERT(Computer Emergency Response Team) 조직 간
협의체로서, 매년 정기적으로 국제공동모의훈련을 주관하고 연례 총회를 개최하여 구성원
간 침해대응 관련 정보교류 및 협력 활동을 수행함."
API(Application Programming Interface),운영체제와 응용프로그램 사이의 통신에 사용되는 언어나 메시지 형식.
APT(Advanced Persistent Threat) 공격,"특정 공격 대상을 겨냥해 지능적, 지속적으로 은밀하게 공격을 행함으로써 기밀 정보 및
중요 정보를 유출하고 내부 시스템에 피해를 유발하는 해킹 기법으로, 해킹 공격 방법에
제약을 가지지 않는다는 특징을 가짐."
ARIA,"하드웨어 구현 최적화를 고려하여 설계된 범용 블록 암호 알고리즘으로 정부 행안망 등
에서 사용되고 있음. 128 비트 블록 크기에 128, 192, 256 비트 키 길이를 지원함."
ARP 스푸핑(ARP(Address Resolution Protocol) spoofing),"네트워크의 물리적 주소(MAC)를 변조함으로써 네트워크 구간에서의 트래픽 흐름을 가로
채거나 방해하는 공격 기법으로, 동일 네트워크(같은 빌딩, 아파트 등)에 존재하는 보안
게이트웨이의 IP를 해커 자신의 랜카드 주소(MAC)로 연결시켜 다른 PC에 전달되어야 하는
정보를 중간에서 가로채기함으로써 공격이 수행됨."
BAS(Breach and Attack Simulation),"다양한 보안 조치들이 목적에 맞게 동작하는지 확인하기 위해 실제 공격을 모방하여
조직의 IT 보안 능력을 시험하는 기술."
CASB(Cloud Access Security Broker),"클라우드 기반 리소스에 액세스할 때 엔터프라이즈 보안 정책을 결합하고 개입하기 위해
클라우드 서비스 소비자와 클라우드 서비스 공급자 사이에 배치되는 온프레미스 또는
클라우드 기반 보안 정책 시행 지점."
CC Attack(Cache-Control Attack),"서버에 과부하를 일으켜 시스템을 다운시키는 형태의 공격으로, HTTP 헤더에 정의된
Cache Control과 관련된 값을 변조함으로써 클라이언트에서 발생하는 모든 요청을 서버로
전달함으로써 서버의 부하를 증가시킴."
CRL 분배점(Certificate Revocation List distribution points),"공개 키 기반 구조에서 CRL(인증서 취소 목록) 크기가 증가하는 것을 방지하기 위하여,
전체 CRL을 취소 이유별로 구분하여 작은 크기 단위로 발행한 CRL을 찾기 위한 분배점을
나타냄. 인증서 폐지 목록을 접근하기 위한 디렉터리 엔트리."
CSR(Certificate Signing Request),"SSL 서버를 운영하는 회사의 정보를 암호화하여 인증 기관으로 보내 인증서를 발급받게
하는 일종의 신청서."
CTF(Capture The Flag),"해킹 대회 시 실력을 확인하는 방법 중의 하나로 단순 문제풀이 방식의 절대적 평가의
한계를 극복하기 위하여 본인의 서버를 방어하고 상대방의 서버를 공격하여 서로의 실력을
검증하는 대회 방법임."
CVE(Common Vulnerabilities and Exposures),알려진 취약점과 공격 위험에 대한 표준 목록 명칭.
DES(Data Encryption Standard),"80~90년대 미국 연방정부표준으로 사용된 블록 암호 알고리즘으로 64 비트 블록 크기에
56 비트 키 길이를 지원함. 현재는 안전성 문제로 인해 사용이 권고되고 있지 않으며
AES로 대체됨."
Diffie-Hellman 알고리즘(Diffie-Hellman Algorithm),"두 사용자가 사전에 어떠한 비밀 교환 없이도 공통키 교환을 가능하게 하는 가장 오래된
공개 키 암호 시스템으로 이산 구조의 복잡함을 활용한 방식임."
DMZ구간(DMZ zone),내부 자원을 보호하기 위해 내부망과 외부망 사이에서 접근제한을 수행하는 영역.
